14-01	niungnganrenhang mapatsaksanny pracmhumyaamha seaalannykeaang, kulasamagga-i rannyrwakkhyaknhang sabheaataraa mhumyaakiu phiichanseaa amhumyaamha seaalannykeaang, amhan peaapeaak laaseaa pracmhukreaang taraacwaichiukhrang khanrasanny amhuakhangmyaatwang athakpaa akhwangarekiu asunmapruniungcera.
15-00	apiud 15
15-00	luutiungsanny, niungngan tacniungngan-i niungngansaaaphrac khanyuukhwangrhisanny.
15-01	upadeara mahutlyhang mannysuumyha mimi-i niungngansaaaphrackiu cwanlwhatkhrang makhancera, niungngansaaaphrac preaanglainiungseaa akhwangarekiu lanny ngrangpaykhrang makhancera.
16-00	apiud 16
16-00	arwayreaak priiseaa yeaakyaa nhang minmatiutwang luumyiukiu seaalannykeaang, niungngansaaaphrackiu seaalannykeaang, kiukwaysanny bhaasaakiu seaalannykeaang, akreaangpru-jwe khyupkhyay kansatkhrang marhibhai, thimmraaniungkhwang nhang misaacu thuutheaangniungkhwangrhisanny. achiupaa yeaakyaanhang minma tiusanny langmayaaaphrac peaangsangnecany akhyin atwang-nai seaalannykeaang, aimtheaangkiu phyaksim-jwe kwaarhangkrasanny akhaa-nailannykeaang, lakthap peaangsang aimtheaangprukhrang nhang caplyanyseaa tuunnyiisanny akhwangaremyaakiu rarhithiuksanny.
16-01	satiusaa nhang satiusamii nhacuunhacbhak-i lwatlapseaa sabheaachandarhimhasaalyhang thimmraakhrangkiu pruramanny.
16-02	misaacu tackhusanny luuaphwaiacanny-i sabhaawakyaseaa akhrekhanaphwaitacrapphracsanny, thiumisaacusanny luu aphwaiacannynhang aciuratiu-i kaakwayceaangrheaakkhrangkiu khanyuukhwangrhisanny.
17-00	apiud 17
17-00	luutiungtwang mimitacuu khyangseaalannykeaang, akhraasuumyaanhang phakcap-jwe seaalannykeaang, paccannyuccaa tiukiu piungchiungran akhwangarerhiramanny.
17-01	upadeara mahutlyhang, mannysuumyha mimi-i paccannyuccaapiungchiungkhwangkiu cwanlwhatkhrang makhancera.
18-00	apiud 18
18-01	luutiungtwang lwatlapcwaa twekheaa kranchaniungkhwang, lwatlapcwaa khanyuuraptannyniungkhwang nhang lwatlapcwaa sakwang kiukwayniungkhwangrhisanny. achiupaa akhwangaremyaa-nai mimikiukwaysanny bhaasaakiu siutannymahut sakwangyunkrannykhyakkiu lwatlapcwaa preaanglainiungkhwang paawangsanny aprang mimitacyeaak khyangphracce, akhraasuumyaanhang cupeaang-jwephracce, prannysuuamyaa rhemheaaktwang seaalannykeaang, rhemheaaktwang mahutbhai seaalannykeaang, mimi kiukwayseaa bhaasaakiu siutannymahut sakwang yunkrannykhyakkiu lwatlapcwaa sangpraniungkhwang, kyangsunniungkhwang, watprukiukwayniungkhwangnhang cheaaktanny niungkhwangtiulanny paawangsanny.
19-00	apiud 19
19-01	luutiungtwang lwatlapcwaa thangmrang yuuchaniungkhwangnhang lwatlapcwaa phwangha pheaapraniungkhwangrhisanny. achiupaa akhwangaremyaa-nai anheaang ayhakmarhibhai lwatlapcwaa thangmrangyuuchaniungkhwang paawang sannyaprang, niungngannaynimitmyaakiu theaakthaaran maliubhai satangakreaangaraanhang sabheaataraamyaakiu tanannynannyphrang lwatlapcwaa rhaayuuchannypuuniungkhwang, lakkhanniungkhwangnhang wengha phrankhyiikhwangtiulanny paawangsanny.
20-00	apiud 20
20-00	luutiungtwang lwatlap aekhyamcwaa cuweniungkhwang nhang phwaicannyniungkhwang tiu rhisanny.
20-01	mannysuukiumyha aphwaiacannytackhusiu wangceran atangakyapmaprura.
21-00	apiud 21
21-00	luutiungtwang miminiungngan-i aupkhyupre-nai kiuytiungphracce, lwatlapcwaa rwekhyayliuksanny kiuycaalhaymyaamha tacchangphracce paawang cheaangrwakniungkhwang rhisanny.
21-01	luutiungtwang mimi-iniungnganrhi prannysuu wanthamaphwai-nai wangreaakniungran tuunnyiisannyakhwang arerhisanny.
21-02	prannysuuprannysaatiu-i chandasanny aupkhyup aaannaa-i akhrekhanphracramanny, achiupaa chandakiu akhyinkaalapiungkhraalyak cacmhanseaarwekeaakpwaimyaaphrang thangrhaaceramanny. rwekeaak pwaimyaatwanglanny luutiungannyiiamyha chandamai peniungkhwang rhiramannyaprang, thiurwekeaakpwaimyaakiu lyhiuwhak maipe canacphrang phracce, alaatuu lwatlapseaa maipecanac phrangphracce, kyangparamanny.
22-00	apiud 22
